,year,loa
701,2001,0
716,2001,0
717,2001,0.3
722,2001,0
723,2001,0
726,2001,0
727,2001,0
728,2001,0
729,2001,0
730,2001,0.16
731,2001,0.16
732,2001,0
733,2001,0
735,2001,0
742,2001,0
743,2001,0
745,2001,0
746,2001,0
747,2001,0
748,2001,0
752,2001,0
753,2001,0
756,2001,0
757,2001,0
758,2001,0
760,2001,0
761,2001,0
762,2001,0
764,2001,0
765,2001,0
767,2001,0
772,2001,0
774,2001,0
790,2001,0.3
791,2001,0.16
792,2001,0
797,2001,0
798,2001,0
799,2001,0
801,2001,0
816,2001,0
817,2001,0.16
822,2001,0.16
823,2001,0.16
826,2001,0
827,2001,0
828,2001,0
829,2001,0
830,2001,0.16
831,2001,0
832,2001,0
833,2001,0
835,2001,0
850,2001,0.16
880,2001,0.16
881,2001,0
883,2001,0
887,2001,0.16
889,2001,0
890,2001,0.16
891,2001,0
892,2001,0
893,2001,0.16
897,2001,0.16
899,2001,0
900,2001,0.16
901,2001,0.16
913,2001,0.16
914,2001,0.16
915,2001,0.16
918,2001,0
919,2001,0.16
920,2001,0.16
921,2001,0.16
959,2001,0
990,2001,0.16
991,2001,0.16
996,2001,0.16
997,2001,0.16
0,2002,0
100,2002,0.22
190,2002,0.22
200,2002,0.16
201,2002,0.16
202,2002,0.16
203,2002,0.16
204,2002,0.16
205,2002,0.16
206,2002,0.16
207,2002,0.16
208,2002,0.16
209,2002,0.16
210,2002,0.16
211,2002,0.16
212,2002,0.16
213,2002,0.16
224,2002,0.16
225,2002,0.16
234,2002,0.16
236,2002,0.16
239,2002,0.16
240,2002,0.16
241,2002,0.16
278,2002,0.16
288,2002,0.16
290,2002,0.16
294,2002,0.16
295,2002,0.16
297,2002,0.16
299,2002,0.16
300,2002,0.33
301,2002,0.33
313,2002,0.33
314,2002,0.33
315,2002,0.33
318,2002,0.33
319,2002,0.33
320,2002,0.33
321,2002,0.33
390,2002,0.33
391,2002,0.33
396,2002,0.33
397,2002,0.33
399,2002,0.33
400,2002,0.3
401,2002,0.3
413,2002,0
414,2002,0
415,2002,0.3
416,2002,0
417,2002,0.3
418,2002,0
419,2002,0.3
420,2002,0.3
421,2002,0.3
422,2002,0.3
423,2002,0
426,2002,0
427,2002,0.3
428,2002,0.3
429,2002,0
430,2002,0.3
431,2002,0.3
432,2002,0
433,2002,0.3
435,2002,0.3
480,2002,0.3
483,2002,0
487,2002,0
489,2002,0
490,2002,0.3
491,2002,0.3
492,2002,0.3
493,2002,0.3
496,2002,0
497,2002,0.3
499,2002,0.3
500,2002,0.38
501,2002,0.38
516,2002,0.38
517,2002,0.38
522,2002,0.38
523,2002,0.38
526,2002,0.38
527,2002,0.38
528,2002,0.38
529,2002,0.38
530,2002,0.38
531,2002,0.38
532,2002,0.38
533,2002,0.38
535,2002,0.38
550,2002,0.36
580,2002,0.36
581,2002,0.36
583,2002,0.36
587,2002,0.36
589,2002,0.36
590,2002,0.38
591,2002,0.38
592,2002,0.38
593,2002,0.36
597,2002,0.38
599,2002,0.38
637,2002,0
638,2002,0
650,2002,0.3
651,2002,0.16
654,2002,0
655,2002,0
663,2002,0.16
666,2002,0
668,2002,0
669,2002,0
670,2002,0.16
671,2002,0.16
673,2002,0.16
677,2002,0.16
679,2002,0.16
680,2002,0.3
681,2002,0
683,2002,0
687,2002,0
689,2002,0.3
693,2002,0.3
700,2002,0.16
701,2002,0
716,2002,0
717,2002,0.3
722,2002,0.16
723,2002,0
726,2002,0
727,2002,0.16
728,2002,0
729,2002,0
730,2002,0.16
731,2002,0.16
732,2002,0
733,2002,0
735,2002,0
742,2002,0
743,2002,0
745,2002,0
746,2002,0
747,2002,0
748,2002,0
752,2002,0
753,2002,0
756,2002,0
757,2002,0
758,2002,0
760,2002,0
761,2002,0
762,2002,0
764,2002,0
765,2002,0
767,2002,0
772,2002,0
774,2002,0.38
790,2002,0.3
791,2002,0.16
792,2002,0
797,2002,0.16
798,2002,0
799,2002,0
801,2002,0
816,2002,0
817,2002,0.16
822,2002,0.16
823,2002,0.16
826,2002,0
827,2002,0
828,2002,0
829,2002,0
830,2002,0.16
831,2002,0
832,2002,0
833,2002,0
835,2002,0
850,2002,0.16
880,2002,0.16
881,2002,0
883,2002,0
887,2002,0.16
889,2002,0
890,2002,0.16
891,2002,0.16
892,2002,0
893,2002,0.16
897,2002,0
899,2002,0
900,2002,0.16
901,2002,0.16
913,2002,0.16
914,2002,0.16
915,2002,0.16
918,2002,0
919,2002,0.16
920,2002,0.16
921,2002,0.16
959,2002,0
990,2002,0.16
991,2002,0.16
996,2002,0.16
997,2002,0.16
0,2003,0
100,2003,0.22
190,2003,0.22
200,2003,0.16
201,2003,0.16
202,2003,0.16
203,2003,0.16
204,2003,0.16
205,2003,0.16
206,2003,0.16
207,2003,0.16
208,2003,0.16
209,2003,0.16
210,2003,0.16
211,2003,0.16
212,2003,0.16
213,2003,0.16
224,2003,0.16
225,2003,0.16
234,2003,0.16
236,2003,0.16
239,2003,0.16
240,2003,0.16
241,2003,0.16
278,2003,0.16
288,2003,0.16
290,2003,0.16
294,2003,0.16
295,2003,0.16
297,2003,0.16
299,2003,0.16
300,2003,0.3
301,2003,0.3
313,2003,0.3
314,2003,0.3
315,2003,0.3
318,2003,0.3
319,2003,0.3
320,2003,0.3
321,2003,0.3
390,2003,0.3
391,2003,0.3
396,2003,0.3
397,2003,0.3
399,2003,0.3
400,2003,0.3
401,2003,0.3
413,2003,0
414,2003,0
415,2003,0.3
416,2003,0
417,2003,0.3
418,2003,0
419,2003,0.3
420,2003,0.3
421,2003,0.3
422,2003,0.3
423,2003,0
426,2003,0
427,2003,0.3
428,2003,0.3
429,2003,0
430,2003,0.3
431,2003,0.3
432,2003,0
433,2003,0.3
435,2003,0.3
480,2003,0.3
483,2003,0
487,2003,0
489,2003,0
490,2003,0.3
491,2003,0.3
492,2003,0.3
493,2003,0.3
496,2003,0
497,2003,0.3
499,2003,0.3
500,2003,0.38
501,2003,0.38
516,2003,0.38
517,2003,0.38
522,2003,0.38
523,2003,0.38
526,2003,0.38
527,2003,0.38
528,2003,0.38
529,2003,0.38
530,2003,0.38
531,2003,0.38
532,2003,0.38
533,2003,0.38
535,2003,0.38
550,2003,0.36
580,2003,0.36
581,2003,0.36
583,2003,0.36
587,2003,0.36
589,2003,0.36
590,2003,0.38
591,2003,0.38
592,2003,0.38
593,2003,0.36
597,2003,0.38
599,2003,0.38
637,2003,0
638,2003,0
650,2003,0.3
651,2003,0.16
654,2003,0
655,2003,0
663,2003,0.16
666,2003,0
668,2003,0
669,2003,0
670,2003,0.16
671,2003,0.16
673,2003,0.16
677,2003,0.16
679,2003,0.16
680,2003,0.3
681,2003,0
683,2003,0
687,2003,0
689,2003,0.16
693,2003,0.3
700,2003,0.16
701,2003,0
716,2003,0
717,2003,0.16
722,2003,0.16
723,2003,0.16
726,2003,0
727,2003,0
728,2003,0
729,2003,0
730,2003,0.16
731,2003,0.16
732,2003,0
733,2003,0
735,2003,0
742,2003,0
743,2003,0
745,2003,0
746,2003,0
747,2003,0
