nbhd,group_name,version,updated_at
77040,West Chicago 2,1,2024-03-13
77020,West Chicago 2,1,2024-03-13
77011,West Chicago 2,1,2024-03-13
77013,West Chicago 2,1,2024-03-13
77080,West Chicago 2,1,2024-03-13
77091,West Chicago 3,1,2024-03-13
77103,West Chicago 3,1,2024-03-13
77085,West Chicago 3,1,2024-03-13
77092,West Chicago 3,1,2024-03-13
77102,West Chicago 3,1,2024-03-13
77104,West Chicago 3,1,2024-03-13
77060,West Chicago 4,1,2024-03-13
77152,West Chicago 4,1,2024-03-13
77170,West Chicago 4,1,2024-03-13
77115,South West 1,1,2024-03-13
77030,West Chicago 7,1,2024-03-13
77150,West Chicago 7,1,2024-03-13
77151,West Chicago 7,1,2024-03-13
77051,West Chicago 8,1,2024-03-13
77052,West Chicago 8,1,2024-03-13
77101,West Chicago 8,1,2024-03-13
77131,West Chicago 9,1,2024-03-13
77120,West Chicago 9,1,2024-03-13
77141,West Chicago 5,1,2024-03-13
77132,West Chicago 5,1,2024-03-13
