parid
04241030290000
05201120080000
05201020170000
05201160200000
05333210580000
01013080330000
01112010010000
03171090290000
12014140330000
05341200050000
11191110160000
15364060800000
15353190160000
15262050220000
16183180210000
15253000090000
16183280180000
16181290330000
16191210020000
16071030170000
16303230090000
16342020100000
16173270140000
16053030040000
20072220170000
19182300260000
19182120100000
20291090420000
28104060110000
27312090060000
28173110030000
17333230470000
19211130450000
09291012210000
27094020450000
22322170170000
